Codine,Lirmun,Pob,Sup,Dens,Extran,Porext,Mayor65,Pormayor65,CMerCA,Nivec03,Nivec04,Parreg,Cmer05,Cmer03,Telfij,Vmot,Ofban,Acind,Acomay,Acomin,Scomin,Ccom,Sccom,Acresbar,Iindus,Icomer,Iresbar,Itur,Iae,paseos,cnautic,bazul05,nviviend,porvpal,porvisec,porvivac,porhvivprop,porhvivalq,porhvivotreg,porhHdispsegviv,Poranalf,Porestprim,Porestsec,Porestuniv,Nhot05,nhcatsup,porhcatsup,Ing01,Ing02,Ing03,Ing04,Ing05,Ing06,Ing07,Ing08,Ing09,IngTot,Gas01,Gas02,Gas03,Gas04,Gas06,Gas07,Gas08,Gas09,TotGas,LIngporhab,LGasporhab,Portasas,Porinver,RivCom,RivRes
"46238","46238 Tavernes de la Valldigna",17675,49.23,359.03,1099,0.0621782178217822,2900,0.164073550212164,0.0922296438425347,5,5,5,38,39,5891,10632,13,270,61,376,42391,0,0,120,24,28,31,2,23,0,0,1,13108,45.3,41.9,12.7,87.7,5.8,6.5,23.1,15.5,33.6,41,10.1,2,0,0,4703179.88,1175000,2226320.46,4726296.16,224500,2854983.17,704246.79,0,672477.73,17287004.19,6751804.94,4199288.97,284444.24,1023123.55,4267378.84,18020.24,0,742943.41,17287004.19,6.88555908351879,6.88555908351879,12.8785788186935,24.6854735100287,47.0079787234043,147.291666666667
"46250","46250 Valencia",796549,134.63,5916.58,82013,0.102960395405681,135630,0.170272010886964,0.0922296438425347,8,7,4.2,1757,1800,274747,485104,841,8939,3510,16389,2132996,8,258952,5010,861,2512,2591,1753,2021,3,1,2,377248,72.7,7.5,17.3,83.4,11.9,4.8,3.1,11,19.5,49.5,20,58,27,46.551724137931,253216000,30629050,67025485.75,241029553.78,1177730,3468000,2173864.12,300000,53350000,652369683.65,202650000,180121313.78,31107000,123170680,55959503.82,13170546.05,3720000,42470640,652369683.65,6.70807803308438,6.70807803308438,10.27415703547,8.57788232998617,48.602660320947,158.991816367265
"46143","46143 Xeraco",5643,20.22,279.08,498,0.0882509303561935,860,0.152401205032784,0.0922296438425347,5,5,3.1,13,13,2204,3718,5,99,30,128,13794,0,0,47,3,11,9,1,6,0,0,1,5751,34.3,60.3,5.4,82.5,3.7,13.7,14.6,13.4,27.3,52.8,6.6,0,0,0,1788063.85,320000,872400,881110,7200,0,1080498.89,3000,214600,5166872.74,1865235.51,1498170.74,121900,157680.6,1294798.89,0,3000,226087,5166872.74,6.81960705961812,6.81960705961812,16.8844878498014,25.0596241702674,44.0859375,120.063829787234
"21010","21010 Ayamonte",18001,141.29,127.4,1168,0.0648852841508805,2469,0.137159046719627,0.144417876666714,5,4,4,38,37,6247,7981,14,186,76,506,38218,0,0,201,13,35,36,207,23,2,1,0,8207,66.1,20,13,73.2,21.8,5,3.8,17.8,28.5,45.8,7.9,9,5,55.5555555555556,5036000,3416901.52,8224392.41,3032761.69,132211.92,210628.38,801496.01,36060.72,0,20890452.65,6018038.32,6701723.2,142037.21,1450611.53,2678571.81,3531265.31,36060.72,332144.55,20890452.65,7.05662021066962,7.05662021066962,39.3691441147399,12.821990288468,35.5750988142293,89.5572139303483
"21060","unknown",13736,38.77,354.29,364,0.0264997087944089,1347,0.0980634828188701,0.144417876666714,4,4,4.3,30,29,5813,5498,8,155,55,450,30630,0,0,201,7,29,39,73,15,2,1,1,13766,28.6,70.9,0.4,87.6,6.8,5.6,2.2,17,23.5,51.9,7.6,7,1,14.2857142857143,6211965,1150000,4005849.8,2626000,5679131.61,17859924.22,858088.65,0,350000,38740959.28,7882376.38,6140364,83075,1212180,20587683.69,164728.98,350000,233837,36654245.05,7.94463257506234,7.88926440375165,10.3400893381285,56.1672561033964,30.5244444444444,68.3383084577114
"21044","21044 Lepe",22709,127.94,177.5,2238,0.0985512351930952,2167,0.0954247214760668,0.144417876666714,4,3,4.1,49,48,7117,10801,15,307,94,597,62023,0,0,208,17,43,83,53,34,1,0,1,16078,36.9,37.7,25,82.8,7.2,10,12.9,19.6,28.5,45.3,6.7,1,0,0,7880000,1200000,2868150,5973500,117000,200000,6143185,54000,2000000,26435835,8571469.18,5261738.82,474000,216230,9360700,0,54000,1300000,25238138,7.05971443339945,7.01335022046054,10.8494776124908,37.089503195521,38.0385259631491,109.177884615385
"21050","21050 Moguer",16961,203.45,83.37,1592,0.0938623901892577,1577,0.0929780083721479,0.144417876666714,4,4,3.3,37,35,5695,8485,13,218,127,371,37224,0,0,125,18,41,27,27,21,0,0,1,6246,78.5,7,14.4,76.7,8.8,14.6,8.6,19.6,26.9,43.7,10,0,0,0,3608000,2050000,1364645,3021255,695075,2386882.96,496025.84,0,0,13621883.8,5980200,4212757.9,228000,1691542.1,0,0,0,174500,12287000,6.68851629055658,6.58538048097787,10.0180343632061,0,45.7169811320755,135.688
"38001","38001 Adeje",33722,105.95,318.28,14285,0.423610699246783,2324,0.0689164343751853,0.170137626302679,7,6,3.7,90,81,19015,21949,30,375,104,1513,130211,1,8400,863,19,110,156,2593,160,9,0,2,19049,38.3,36.1,10.1,60.8,31.7,7.5,1.8,5.6,13,65.5,15.9,16,14,87.5,20543000,3700787.25,21491023.51,10306962.01,3012060,120,240,100180,120,59154492.77,17773036.1,34806085.77,331702.02,1452893.78,3691541.29,374828.96,100000,624404.85,59154492.77,7.46975737870304,7.46975737870304,36.3303318203738,6.24050873760877,22.2881692002644,39.0753186558517
"38006","38006 Arona",65550,81.79,801.44,24248,0.369916094584287,5117,0.0780625476735317,0.170137626302679,6,5,4.6,166,157,29756,44914,52,929,240,2457,185446,1,4585,1336,74,197,297,1542,152,4,1,1,35667,47.1,38.4,7.5,55.1,33.4,11.5,1.4,9.7,32.6,51.8,6,10,7,70,16867477,795030,24582554,20451930,1714214,2145810,180,108213,10821593,77487001,13104158.26,38999827.5,514600,8805602.24,14225279,960694,108213,768627,77487001,7.07505226203138,7.07505226203138,31.7247456770201,18.3582779258678,26.6788766788767,49.064371257485
"38028","38028 Puerto de la Cruz",30613,8.73,3506.64,5343,0.174533694835527,5461,0.178388266422762,0.170137626302679,4,5,6.8,85,89,17294,26869,33,206,96,1284,82650,1,11992,557,10,83,104,1513,94,2,0,1,17655,53.3,22,24.6,75.6,15.9,8.5,1,17.6,21.8,51.7,9.1,39,23,58.974358974359,16199921.14,1390000,4260714.54,13750050.93,1268050.8,4685962.01,0,2.4,1.2,41554703.02,19059386.37,10854547.97,208426.17,4766209.99,5047794.13,557641.19,636.2,1060061,41554703.02,7.21334122794638,7.21334122794638,10.2532667312033,12.1473473834491,23.8419003115265,54.9605026929982
